State,Park Name,Official Website
California,Grover Hot Springs State Park,https://www.parks.ca.gov/?page_id=508
California,Half Moon Bay State Beach,https://www.parks.ca.gov/?page_id=531
California,Harmony Headlands State Park,https://www.parks.ca.gov/?page_id=25735
California,Harry A. Merlo State Recreation Area,https://www.parks.ca.gov/?page_id=431
California,Hearst San Simeon State Historical Monument,https://www.parks.ca.gov/?page_id=591
California,Hearst San Simeon State Park,https://www.parks.ca.gov/?page_id=590
California,Heber Dunes State Vehicular Recreation Area,https://www.parks.ca.gov/?page_id=25642
California,Hendy Woods State Park,https://www.parks.ca.gov/?page_id=438
California,Henry Cowell Redwoods State Park,https://www.parks.ca.gov/?page_id=546
California,Henry W. Coe State Park,https://www.parks.ca.gov/?page_id=561
California,Hollister Hills State Vehicular Recreation Area,https://www.parks.ca.gov/?page_id=1179
California,Humboldt Lagoons State Park,https://www.parks.ca.gov/?page_id=416
California,Humboldt Redwoods State Park,https://www.parks.ca.gov/?page_id=425
California,Hungry Valley State Vehicular Recreation Area,https://www.parks.ca.gov/?page_id=1192
California,Huntington State Beach,https://www.parks.ca.gov/?page_id=643
California,Indian Grinding Rock State Historic Park,https://www.parks.ca.gov/?page_id=553
California,Jack London State Historic Park,https://www.parks.ca.gov/?page_id=478
California,Jedediah Smith Redwoods State Park,https://www.parks.ca.gov/?page_id=413
California,John B. Dewitt Redwoods State Natural Reserve,https://www.parks.ca.gov/?page_id=22274
California,John Little State Natural Reserve,https://www.parks.ca.gov/?page_id=568
California,Jug Handle State Natural Reserve,https://www.parks.ca.gov/?page_id=441
California,Julia Pfeiffer Burns State Park,https://www.parks.ca.gov/?page_id=578
California,Kenneth Hahn State Recreation Area,https://www.parks.ca.gov/?page_id=612
California,Kings Beach State Recreation Area,https://www.parks.ca.gov/?page_id=511
California,Kruse Rhododendron State Natural Reserve,https://www.parks.ca.gov/?page_id=448
California,La Purísima Mission State Historic Park,https://www.parks.ca.gov/?page_id=598
California,Lake Del Valle State Recreation Area,https://www.parks.ca.gov/?page_id=537
California,Lake Oroville State Recreation Area,https://www.parks.ca.gov/?page_id=462
California,Lake Perris State Recreation Area,https://www.parks.ca.gov/?page_id=651
California,Lake Valley State Recreation Area,https://www.parks.ca.gov/?page_id=515
California,Leland Stanford Mansion State Historic Park,https://www.parks.ca.gov/?page_id=489
California,Leo Carrillo State Park,https://www.parks.ca.gov/?page_id=616
California,Leucadia State Beach,https://www.parks.ca.gov/?page_id=661
California,Lighthouse Field State Beach,https://www.parks.ca.gov/?page_id=550
California,Limekiln State Park,https://www.parks.ca.gov/?page_id=577
California,Little River State Beach,https://www.parks.ca.gov/?page_id=419
California,Los Angeles State Historic Park,https://www.parks.ca.gov/?page_id=22272
California,Los Encinos State Historic Park,https://www.parks.ca.gov/?page_id=619
California,Los Osos Oaks State Natural Reserve,https://www.parks.ca.gov/?page_id=597
California,MacKerricher State Park,https://www.parks.ca.gov/?page_id=436
California,Mailliard Redwoods State Natural Reserve,https://www.parks.ca.gov/?page_id=439
California,Malakoff Diggins State Historic Park,https://www.parks.ca.gov/?page_id=494
California,Malibu Creek State Park,https://www.parks.ca.gov/?page_id=614
California,Malibu Lagoon State Beach,https://www.parks.ca.gov/?page_id=835
California,Manchester State Park,https://www.parks.ca.gov/?page_id=437
California,Mandalay State Beach,https://www.parks.ca.gov/?page_id=609
California,Manresa State Beach,https://www.parks.ca.gov/?page_id=545
California,Marconi Conference Center State Historic Park,https://www.parks.ca.gov/?page_id=467
California,Marina State Beach,https://www.parks.ca.gov/?page_id=581
California,Marsh Creek State Park State Historic Park,https://www.parks.ca.gov/?page_id=525
California,Marshall Gold Discovery State Historic Park,https://www.parks.ca.gov/?page_id=484
California,Martial Cottle Park State Recreation Area,https://www.parks.ca.gov/?page_id=23450
California,McArthur-Burney Falls Memorial State Park,https://www.parks.ca.gov/?page_id=455
California,McConnell State Recreation Area,https://www.parks.ca.gov/?page_id=554
California,McGrath State Beach,https://www.parks.ca.gov/?page_id=607
California,McLaughlin Eastshore State Park State Seashore,https://www.parks.ca.gov/?page_id=520
California,Mendocino Headlands State Park,https://www.parks.ca.gov/?page_id=442
California,Mendocino Woodlands State Park,https://www.parks.ca.gov/?page_id=443
California,Millerton Lake State Recreation Area,https://www.parks.ca.gov/?page_id=587
California,Mono Lake Tufa State Natural Reserve,https://www.parks.ca.gov/?page_id=514
California,Montara State Beach,https://www.parks.ca.gov/?page_id=532
California,Montaña de Oro State Park,https://www.parks.ca.gov/?page_id=592
California,Monterey State Beach,https://www.parks.ca.gov/?page_id=576
California,Monterey State Historic Park,https://www.parks.ca.gov/?page_id=575
California,Montgomery Woods State Natural Reserve,https://www.parks.ca.gov/?page_id=434
California,Moonlight State Beach,https://www.parks.ca.gov/?page_id=659
California,Morro Bay State Park,https://www.parks.ca.gov/?page_id=594
California,Morro Strand State Beach,https://www.parks.ca.gov/?page_id=593
California,Moss Landing State Beach,https://www.parks.ca.gov/?page_id=574
California,Mount Diablo State Park,https://www.parks.ca.gov/?page_id=517
California,Mount San Jacinto State Park,https://www.parks.ca.gov/?page_id=636
California,Mount Tamalpais State Park,https://www.parks.ca.gov/?page_id=471
California,Natural Bridges State Beach,https://www.parks.ca.gov/?page_id=541
California,Navarro River Redwoods State Park,https://www.parks.ca.gov/?page_id=435
California,New Brighton State Beach,https://www.parks.ca.gov/?page_id=542
California,Oceano Dunes State Vehicular Recreation Area,https://www.parks.ca.gov/?page_id=1207
California,Ocotillo Wells State Vehicular Recreation Area,https://www.parks.ca.gov/?page_id=1217
California,Old Sacramento State Historic Park,https://www.parks.ca.gov/?page_id=497
California,Old Town San Diego State Historic Park,https://www.parks.ca.gov/?page_id=663
California,Olompali State Historic Park,https://www.parks.ca.gov/?page_id=465
California,Pacheco State Park,https://www.parks.ca.gov/?page_id=560
California,Pacifica State Beach,https://www.parks.ca.gov/?page_id=524
California,Palomar Mountain State Park,https://www.parks.ca.gov/?page_id=637
California,Pelican State Beach,https://www.parks.ca.gov/?page_id=412
California,Pescadero State Beach,https://www.parks.ca.gov/?page_id=522
California,Petaluma Adobe State Historic Park,https://www.parks.ca.gov/?page_id=474
California,Pfeiffer Big Sur State Park,https://www.parks.ca.gov/?page_id=570
California,Picacho State Recreation Area,https://www.parks.ca.gov/?page_id=641
California,Pigeon Point Light Station State Historic Park,https://www.parks.ca.gov/?page_id=533
California,Pismo State Beach,https://www.parks.ca.gov/?page_id=595
California,Placerita Canyon State Park,https://www.parks.ca.gov/?page_id=622
California,Plumas-Eureka State Park,https://www.parks.ca.gov/?page_id=507
California,Point Cabrillo Light Station State Historic Park,https://www.parks.ca.gov/?page_id=22276
California,Point Dume State Beach,https://www.parks.ca.gov/?page_id=623
California,Point Lobos State Natural Reserve,https://www.parks.ca.gov/?page_id=571
California,Point Mugu State Park,https://www.parks.ca.gov/?page_id=630
California,Point Sal State Beach,https://www.parks.ca.gov/?page_id=605
California,Point Sur State Historic Park,https://www.parks.ca.gov/?page_id=565
California,Pomponio State Beach,https://www.parks.ca.gov/?page_id=521
California,Portola Redwoods State Park,https://www.parks.ca.gov/?page_id=539
California,Prairie City State Vehicular Recreation Area,https://www.parks.ca.gov/?page_id=1221
California,Prairie Creek Redwoods State Park,https://www.parks.ca.gov/?page_id=415
California,Providence Mountains State Recreation Area,https://www.parks.ca.gov/?page_id=615
California,Pío Pico State Historic Park,https://www.parks.ca.gov/?page_id=621
California,Railtown 1897 State Historic Park,https://www.parks.ca.gov/?page_id=491
California,Red Rock Canyon State Park,https://www.parks.ca.gov/?page_id=631
California,Refugio State Beach,https://www.parks.ca.gov/?page_id=603
California,Richardson Grove State Park,https://www.parks.ca.gov/?page_id=422
California,Rio de Los Angeles State Park State Recreation Area,https://www.parks.ca.gov/?page_id=22277
California,Robert H. Meyer Memorial State Beach,https://www.parks.ca.gov/?page_id=633
California,Robert Louis Stevenson State Park,https://www.parks.ca.gov/?page_id=472
California,Robert W. Crown Memorial State Beach,https://www.parks.ca.gov/?page_id=526
California,Russian Gulch State Park,https://www.parks.ca.gov/?page_id=432
California,Saddleback Butte State Park,https://www.parks.ca.gov/?page_id=618
California,Salinas River State Beach,https://www.parks.ca.gov/?page_id=573
California,Salt Point State Park,https://www.parks.ca.gov/?page_id=453
California,Salton Sea State Recreation Area,https://www.parks.ca.gov/?page_id=639
California,Samuel P. Taylor State Park,https://www.parks.ca.gov/?page_id=469
California,San Bruno Mountain State Park,https://www.parks.ca.gov/?page_id=518
California,San Buenaventura State Beach,https://www.parks.ca.gov/?page_id=600
California,San Clemente State Beach,https://www.parks.ca.gov/?page_id=646
California,San Elijo State Beach,https://www.parks.ca.gov/?page_id=662
California,San Gregorio State Beach,https://www.parks.ca.gov/?page_id=529
California,San Juan Bautista State Historic Park,https://www.parks.ca.gov/?page_id=563
California,San Luis Reservoir State Recreation Area,https://www.parks.ca.gov/?page_id=558
California,San Onofre State Beach,https://www.parks.ca.gov/?page_id=647
California,San Pasqual Battlefield State Historic Park,https://www.parks.ca.gov/?page_id=655
California,Santa Cruz Mission State Historic Park,https://www.parks.ca.gov/?page_id=548
California,Santa Monica State Beach,https://www.parks.ca.gov/?page_id=624
California,Santa Susana Pass State Historic Park,https://www.parks.ca.gov/?page_id=611
California,Schooner Gulch State Beach,https://www.parks.ca.gov/?page_id=446
California,Seacliff State Beach,https://www.parks.ca.gov/?page_id=543
California,Shasta State Historic Park,https://www.parks.ca.gov/?page_id=456
California,Silver Strand State Beach,https://www.parks.ca.gov/?page_id=654
California,Silverwood Lake State Recreation Area,https://www.parks.ca.gov/?page_id=650
California,Sinkyone Wilderness State Park,https://www.parks.ca.gov/?page_id=429
California,Smithe Redwoods State Natural Reserve,https://www.parks.ca.gov/?page_id=427
California,Sonoma Coast State Park,https://www.parks.ca.gov/?page_id=451
California,Sonoma State Historic Park,https://www.parks.ca.gov/?page_id=479
California,South Carlsbad State Beach,https://www.parks.ca.gov/?page_id=660
California,South Yuba River State Park,https://www.parks.ca.gov/?page_id=496
California,Standish-Hickey State Recreation Area,https://www.parks.ca.gov/?page_id=423
California,State Indian Museum State Historic Park,https://www.parks.ca.gov/?page_id=486
California,Sugarloaf Ridge State Park,https://www.parks.ca.gov/?page_id=481
California,Sunset State Beach,https://www.parks.ca.gov/?page_id=544
California,Sutter Buttes State Park,https://www.parks.ca.gov/?page_id=23452
California,Sutter's Fort State Historic Park,https://www.parks.ca.gov/?page_id=485
California,Tahoe State Recreation Area,https://www.parks.ca.gov/?page_id=504
California,The Forest of Nisene Marks State Park,https://www.parks.ca.gov/?page_id=666
California,Thornton State Beach,https://www.parks.ca.gov/?page_id=530
California,Tolowa Dunes State Park,https://www.parks.ca.gov/?page_id=430
California,Tomales Bay State Park,https://www.parks.ca.gov/?page_id=470
California,Tomo-Kahni State Historic Park,https://www.parks.ca.gov/?page_id=610
California,Topanga State Park,https://www.parks.ca.gov/?page_id=629
California,Torrey Pines State Beach,https://www.parks.ca.gov/?page_id=658
California,Torrey Pines State Natural Reserve,https://www.parks.ca.gov/?page_id=657
California,Trinidad State Beach,https://www.parks.ca.gov/?page_id=418
California,Trione-Annadel State Park,https://www.parks.ca.gov/?page_id=480
California,Tule Elk State Natural Reserve,https://www.parks.ca.gov/?page_id=584
California,Turlock Lake State Recreation Area,https://www.parks.ca.gov/?page_id=555
California,Twin Lakes State Beach,https://www.parks.ca.gov/?page_id=547
California,Van Damme State Park,https://www.parks.ca.gov/?page_id=433
California,Washoe Meadows State Park,https://www.parks.ca.gov/?page_id=516
California,Wassama Round House State Historic Park,https://www.parks.ca.gov/?page_id=586
California,Watts Towers of Simon Rodia State Historic Park,https://www.parks.ca.gov/?page_id=613
California,Weaverville Joss House State Historic Park,https://www.parks.ca.gov/?page_id=457
California,Westport-Union Landing State Beach,https://www.parks.ca.gov/?page_id=440
California,Wilder Ranch State Park,https://www.parks.ca.gov/?page_id=549
California,Will Rogers State Beach,https://www.parks.ca.gov/?page_id=625
California,Will Rogers State Historic Park,https://www.parks.ca.gov/?page_id=626
California,William B. Ide Adobe State Historic Park,https://www.parks.ca.gov/?page_id=458
California,Woodland Opera House State Historic Park,https://www.parks.ca.gov/?page_id=488
California,Woodson Bridge State Recreation Area,https://www.parks.ca.gov/?page_id=459
California,Zmudowski State Beach,https://www.parks.ca.gov/?page_id=572
