Nevada,Big Bend of the Colorado State Recreation Area,56,20,70,41,45,24,0,1,11,20
Nevada,Cathedral Gorge State Park,28,18,60,35,30,9,7,5,2,5
Nevada,Cave Lake State Park,6,35,120,74,62,0,0,1,2,3
Nevada,Dayton State Park,10,29,75,49,44,0,1,4,1,4
Nevada,Echo Canyon State Park,53,40,80,59,60,0,0,1,21,31
Nevada,Fort Churchill State Historic Park,21,25,45,38,45,0,9,0,12,0
Nevada,Kershaw Ryan State Park,20,10,65,52,65,4,1,0,0,15
Nevada,Lahontan State Recreation Area,36,25,60,42,40,0,11,10,4,11
Nevada,Rye Patch State Recreation Area,67,22,75,49,48,22,0,3,16,26
Nevada,South Fork State Recreation Area,50,1,40,38,40,1,2,47,0,0
Nevada,Spring Valley State Park,47,15,100,45,50,8,7,8,8,16
Nevada,Valley of Fire State Park,73,30,125,54,48,0,3,22,26,22
Nevada,Walker River State Recreation Area,52,20,40,35,40,8,8,36,0,0
Nevada,Ward Charcoal Ovens State Historic Park,16,25,45,39,45,0,5,1,10,0
Nevada,Washoe Lake State Park,48,23,100,60,57,2,5,4,13,24
Nevada,Wild Horse State Recreation Area,37,20,145,71,55,1,0,4,18,14
